Respondent Id,Completed Date,CSAT score,What are your most important reasons for giving us that score?,CONTRACT_ID,Sub-Product,How would you rate the service you received from the consultant handling your enquiry?,Weâd love to know what the consultant did to earn such a rating?,CALL_TYPE,SUBCATEGORY,How could the consultant improve how they handled your enquiry?,OPERATOR,PRIMARY_DIVISION,INTERACTION_DATE,"Thinking about your call, was your enquiry resolved?",Category Summary: What are your most important reasons for giving us that score?,CLASSIFICATION,Date Convert,Completed Date 2,Week Ending,Month,Bank IVR Skill,Tribe,CSAT Group,Theme - Good,Theme - Improve,CSAT Theme,ASAT Group,ASAT Theme,Other and Non product Validation,CSAT Verbatim Group,CSAT Days,CSAT Verbatim and Classification Group,ASAT Verbatim Group,ASAT Days,Tribe Copy,Supervisor,ID,Work Type,FCR,FCR Yes,FCR No,Wave,CSAT_Combined_Text,ASAT_Combined_Text,CSAT_Clean_Text,ASAT_Clean_Text
11165438,5/23/2025 10:30:32 AM,7,Difficulty in accessing and slow login,500377338,AMP ACCESS ACCOUNT,6,,Call - Inbound,Transactions,She is difficult to understand and I had to keep repeating what information she needed,"San Luis, Vanessa Ana",Genpact BCC,2025-05-19,"Yes, after multiple calls",ALL->Accessibility-Digital Experience_; ALL->Digital-Technical Issues_; ALL->Ease of Service_; ALL->Ease of Use_; ALL->Timeliness_; Digital Experience->Accessibility-Digital Experience; Digital Experience->Digital-Technical Issues; Digital Experience->Ease of Use; Effort/Resolution->Timeliness; Overall Comments->Ease of Service,Funds Transfer,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Negative,Communication,,with CSAT Verbatim,1,Funds Transfer,with Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740036531,Deposit | My AMP,Yes,1,0,2,Difficulty in accessing and slow login ALL->Accessibility-Digital Experience_; ALL->Digital-Technical Issues_; ALL->Ease of Service_; ALL->Ease of Use_; ALL->Timeliness_; Digital Experience->Accessibility-Digital Experience; Digital Experience->Digital-Technical Issues; Digital Experience->Ease of Use; Effort/Resolution->Timeliness; Overall Comments->Ease of Service 0 nan nan,6 Communication,difficulty accessing slow login allaccessibilitydigital experience alldigitaltechnical issues allease use alltimeliness digital experienceaccessibilitydigital experience digital experiencedigitaltechnical issues digital experienceease use effortresolutiontimeliness overall commentsease,communication
11165434,5/23/2025 10:23:14 AM,0,Didnt solve issues,TF493393637,,0,,Call - Inbound,,Sort out my login issue and give me my statements cant be that difficult that it takes 1-2 hrs ot fone waiting and 2 days of no responsiveness.,"IbaÃ±ez, Mary",Genpact BCC,2025-05-22,Not yet resolved,ALL->Helpfulness_; ALL->Problem Resolution_; Effort/Resolution->Problem Resolution; People Interaction->Helpfulness,,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Other/Non product,Other/Non product,Negative,,Service - BCC,Service - BCC,Negative,Dissatisfaction,,with CSAT Verbatim,1,Not Classified,with Verbatim,1,Other/Non product,"Gonzales, Fritz",740048486,Lending,No,0,1,2,Didnt solve issues ALL->Helpfulness_; ALL->Problem Resolution_; Effort/Resolution->Problem Resolution; People Interaction->Helpfulness Service - BCC Service - BCC nan,0 Dissatisfaction,didnt solve issues allhelpfulness allproblem resolution effortresolutionproblem resolution people interactionhelpfulness bcc,dissatisfaction
11165432,5/23/2025 10:16:32 AM,0,I had some fairly important questions regarding our financial position and spoke to a call centre. All I could hear in the background was a hundred other phone calls being taken. Extremely disappointing.,845764727,OFFSET DEPOSIT ACCOUNT,0,,Call - Inbound,,Use noise cancelling headphones so people can hear her speak instead of all the other conversations in the background,"Ibo, Cherie",Genpact BCC,2025-05-22,Not yet resolved,ALL->Phone-Not Understand_; Phone/Call Center->Phone-Not Understand,,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Service - BCC,Service - BCC,Negative,Solutions,,with CSAT Verbatim,1,Not Classified,with Verbatim,1,Lending Existing Customer,"Gonzales, Fritz",740048636,Lending,No,0,1,2,I had some fairly important questions regarding our financial position and spoke to a call centre. All I could hear in the background was a hundred other phone calls being taken. Extremely disappointing. ALL->Phone-Not Understand_; Phone/Call Center->Phone-Not Understand Service - BCC Service - BCC nan,0 Solutions,fairly important questions regarding financial position centre hear background hundred phone taken extremely disappointing allphonenot understand phonecall centerphonenot understand bcc,solutions
11165429,5/23/2025 10:13:06 AM,3,see below,101854974,OFFSET DEPOSIT ACCOUNT,4,,Call - Inbound,Product Enquiry,"I have to say it was very stressful. I rang to find out how much it would cost to PAYOUT my AMP home loan and cut ties with AMP. He kept insisting I would need to pay back $145K odd, but I said NO, it should be closer to $22K because that's the net balance. We went around in circles, I kept saying my blood pressure and pulse is rising at this stress and kept repeating I do NOT want to keep the offset account open, I want to payout the loan and cut ties. Eventually he told me. It should not take that long. Took about 20 minutes of my live I'll never get back.","Dublas, Rance Ashley",Genpact BCC,2025-05-22,"Yes, on first call",ALL->Uncategorised_; Uncategorised,Home Loan,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Service - BCC,Service - BCC,Negative,Non-agent opportunity,,with CSAT Verbatim,1,Home Loan,with Verbatim,1,Lending Existing Customer,"Gonzales, Fritz",740039348,Lending,Yes,1,0,2,see below ALL->Uncategorised_; Uncategorised Service - BCC Service - BCC nan,4 Non-agent opportunity,see alluncategorised uncategorised bcc,nonagent opportunity
11165428,5/23/2025 10:12:58 AM,10,,TD150766467,,10,,Call - Inbound,Product Enquiry,,"Pulumbarit, Anna",Genpact BCC,2025-05-22,"Yes, after multiple calls",,Home Loan,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Home Loan,No Verbatim,1,EDB Existing Customer,"Landicho, Janeth",740031261,Lending,Yes,1,0,1,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11165424,5/23/2025 07:22:51 AM,9,A lot of problems caused by AMP entering an incorrect email address in AMP system and failed to correct after my phone call on 14 January 2025.,707949845,AMP Flexible Lifetime Super,8,,Call - Inbound,Maintenance / Servicing,It did not fix the problem,"Sena, Wilma",Genpact BCC,2025-05-21,Too early to tell,ALL->Accuracy/Mistakes_; ALL->Change Personal Info_; Effort/Resolution->Accuracy/Mistakes; Transactions->Change Personal Info,Account Details,5/23/2025,2025-05-23,2025-05-25,2025-05-01,Other/Non product,Other/Non product,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Account Details,with Verbatim,1,Other/Non product,"Reyes, Mark Anthony",740032227,Deposit | My AMP,,0,0,2,A lot of problems caused by AMP entering an incorrect email address in AMP system and failed to correct after my phone call on 14 January 2025. ALL->Accuracy/Mistakes_; ALL->Change Personal Info_; Effort/Resolution->Accuracy/Mistakes; Transactions->Change Personal Info 0 nan nan,8 nan,problems caused amp entering incorrect email address amp system failed correct phone january allaccuracymistakes allchange personal info effortresolutionaccuracymistakes transactionschange personal info,
11165609,5/24/2025 04:02:33 PM,10,outcome was good,408468981,UNLINKED OFFSET DEPOSIT ACCOUNT,9,very polite,Call - Inbound,Transactions,,"Salvacion, John",Genpact BCC,2025-05-22,"Yes, after multiple calls",ALL->General Pos/Neg_; Overall Comments->General Pos/Neg,Funds Transfer,5/24/2025,2025-05-24,2025-05-25,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Funds Transfer,No Verbatim,1,Lending Existing Customer,"Landicho, Janeth",740047912,Lending,Yes,1,0,1,outcome was good ALL->General Pos/Neg_; Overall Comments->General Pos/Neg 0 nan nan,9 nan,outcome allgeneral posneg overall commentsgeneral posneg,
11165606,5/24/2025 03:02:06 PM,2,The attendant was unable to answer my question,TD327610945,,5,,Call - Inbound,Online,Find out the answer And then get back to the customer,"Martirez, Christine",Genpact BCC,2025-05-22,Not yet resolved,ALL->Helpfulness_; ALL->Problem Resolution_; Effort/Resolution->Problem Resolution; People Interaction->Helpfulness,Other,5/24/2025,2025-05-24,2025-05-25,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Service - BCC,Service - BCC,Negative,Responsibility,,with CSAT Verbatim,1,Other,with Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740040453,Deposit | My AMP,No,0,1,2,The attendant was unable to answer my question ALL->Helpfulness_; ALL->Problem Resolution_; Effort/Resolution->Problem Resolution; People Interaction->Helpfulness Service - BCC Service - BCC nan,5 Responsibility,attendant unable answer question allhelpfulness allproblem resolution effortresolutionproblem resolution people interactionhelpfulness bcc,responsibility
11165605,5/24/2025 02:56:46 PM,3,Not impressed with the savings account changes,629031762,AMP SAVER ACCOUNT,9,Her understanding of my issue,Call - Inbound,Product Enquiry,,"Mendoza, Eloisa",Genpact BCC,2025-05-22,"Yes, on first call",ALL->Products-General_; Products->Products-General,Transaction / Savings Account,5/24/2025,2025-05-24,2025-05-25,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Product and Policy,Product and Policy,Positive,,,with CSAT Verbatim,1,Transaction / Savings Account,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740048470,Deposit | My AMP,Yes,1,0,2,Not impressed with the savings account changes ALL->Products-General_; Products->Products-General Product and Policy Product and Policy nan,9 nan,impressed savings account changes allproductsgeneral productsproductsgeneral product policy product policy,
11165592,5/24/2025 09:33:17 AM,2,After being a customer of AMP for quite some time my more recent experience dealing with them has left me feeling very disappointed  that the company has become more profits focused rather than maintaining a customer service and care priority focus.,137227942,AMP SAVER ACCOUNT,8,,Call - Inbound,Product Enquiry,The consultant was very helpful and sought to provide me with as much information as possible.,"Balatbat, Querubin",Genpact BCC,2025-05-19,Not yet resolved,ALL->Investment Results_; ALL->Personability_; People Interaction->Personability; Products->Investments->Investment Results,Transaction / Savings Account,5/24/2025,2025-05-24,2025-05-25,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Reputation,Reputation,Positive,,,with CSAT Verbatim,1,Transaction / Savings Account,with Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740048069,Digicomms,No,0,1,1,After being a customer of AMP for quite some time my more recent experience dealing with them has left me feeling very disappointed  that the company has become more profits focused rather than maintaining a customer service and care priority focus. ALL->Investment Results_; ALL->Personability_; People Interaction->Personability; Products->Investments->Investment Results Reputation Reputation nan,8 nan,amp quite time recent experience dealing left feeling disappointed company become profits focused rather maintaining care priority focus allinvestment results allpersonability people interactionpersonability productsinvestmentsinvestment results reputation,
11165665,5/25/2025 07:54:03 AM,9,,190954972,PROFESSIONAL PACK VARIABLE RATE LOAN - PRINCIPAL & INTEREST,10,,Call - Inbound,Maintenance / Servicing,,"Medina, Ron James",Genpact BCC,2025-05-15,"Yes, on first call",,Loan Repayments,5/25/2025,2025-05-25,2025-05-25,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Loan Repayments,No Verbatim,1,Lending Existing Customer,"Landicho, Janeth",740037358,Lending,Yes,1,0,2,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11167553,5/26/2025 10:42:44 PM,10,My enquiries were answered very well.,TD685608739,,10,"James Andrue was very well mannered very professional and so helpful and very considerateâ¦He covered all my enquires, which I was grateful for.",Call - Inbound,Product Enquiry,,"Legaspi, James Andrue",Genpact BCC,2025-05-23,"Yes, on first call",ALL->Helpfulness_; People Interaction->Helpfulness,Term Deposit,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Term Deposit,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740036550,Deposit | My AMP,Yes,1,0,2,My enquiries were answered very well. ALL->Helpfulness_; People Interaction->Helpfulness 0 nan nan,10 nan,enquiries answered well allhelpfulness people interactionhelpfulness,
11167551,5/26/2025 10:01:38 PM,10,Very straightforward operation,449706681,AMP SAVER ACCOUNT,10,She was helpful and courteous,Call - Inbound,Product Enquiry,,"Mupas, Daisy",Genpact BCC,2025-05-20,"Yes, on first call",ALL->Ease of Service_; Overall Comments->Ease of Service,Term Deposit,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Term Deposit,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740035134,Deposit | My AMP,Yes,1,0,1,Very straightforward operation ALL->Ease of Service_; Overall Comments->Ease of Service 0 nan nan,10 nan,straightforward operation allease overall commentsease,
11167537,5/26/2025 05:52:24 PM,8,,267088987,UNLINKED OFFSET DEPOSIT ACCOUNT,8,,Call - Inbound,,,"Gili, Liezel",Genpact BCC,2025-05-09,"Yes, on first call",,,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Not Classified,No Verbatim,1,Lending Existing Customer,"Reyes, Mark Anthony",740040947,Deposit | My AMP,Yes,1,0,2,nan nan No CSAT Verbatim nan nan,8 nan,csat verbatim,
11167534,5/26/2025 05:31:34 PM,6,Not happy with AMP,794513465,PROFESSIONAL PACK VARIABLE RATE LOAN - PRINCIPAL & INTEREST (INVESTMENT),8,,Call - Inbound,Forms,Jeffthro is fine. AMP is dubious,"Triumfante, Jeffthro",Genpact BCC,2025-05-20,"Yes, on first call",ALL->General Pos/Neg_; Overall Comments->General Pos/Neg,Application,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Generic,Generic,Positive,,,with CSAT Verbatim,1,Application,with Verbatim,1,Lending Existing Customer,"Gonzales, Fritz",740048643,Lending,Yes,1,0,2,Not happy with AMP ALL->General Pos/Neg_; Overall Comments->General Pos/Neg Generic Generic nan,8 nan,happy amp allgeneral posneg overall commentsgeneral posneg generic,
11167526,5/26/2025 03:16:47 PM,8,,TD308112341,,10,She explained everything thoroughly,Call - Inbound,Product Enquiry,,"Bulanon, Ginela",Genpact BCC,2025-05-12,"Yes, on first call",,Term Deposit,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Term Deposit,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740048107,Digicomms,Yes,1,0,1,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11167518,5/26/2025 01:20:28 PM,3,I want to withdraw my td upon maturation and itâs road block after roadblock.,TD491806337,,10,Clear and polite. She was great,Call - Inbound,Maintenance / Servicing,,"Bueno, Deniece",Genpact BCC,2025-05-23,Not yet resolved,ALL->Account Transactions_; Transactions->Account Transactions,Term Deposit Maturity / Break,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Term Deposit process,Term Deposit process,Positive,,,with CSAT Verbatim,1,Term Deposit Maturity / Break,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740048458,Deposit | My AMP,No,0,1,1,I want to withdraw my td upon maturation and itâs road block after roadblock. ALL->Account Transactions_; Transactions->Account Transactions Term Deposit process Term Deposit process nan,10 nan,want withdraw td upon maturation road block roadblock allaccount transactions transactionsaccount transactions term deposit process term deposit process,
11167503,5/26/2025 11:48:15 AM,2,POOR ENGLISH COMMUNICATION SKILLS.,273547885,,2,,Call - Inbound,,IMPROVE ENGLISH COMMUNICATION SKILLS.,"Diaz, Agnes",Genpact BCC,2025-05-22,"Yes, after multiple calls",ALL->Communication/Clarity_; ALL->Phone-Not Understand_; Communication->Communication/Clarity; Phone/Call Center->Phone-Not Understand,,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Other/Non product,Other/Non product,Negative,,Service - BCC,Service - BCC,Negative,Communication,,with CSAT Verbatim,1,Not Classified,with Verbatim,1,Other/Non product,"Reyes, Mark Anthony",740035004,Deposit | My AMP,Yes,1,0,2,POOR ENGLISH COMMUNICATION SKILLS. ALL->Communication/Clarity_; ALL->Phone-Not Understand_; Communication->Communication/Clarity; Phone/Call Center->Phone-Not Understand Service - BCC Service - BCC nan,2 Communication,poor english communication skills allcommunicationclarity allphonenot understand communicationcommunicationclarity phonecall centerphonenot understand bcc,communication
11167493,5/26/2025 10:56:48 AM,10,"Ease of setting up an account. Help is just a phone call away, even on the weekend.",TD164700858,,10,She answered my query immediately.,Call - Inbound,Maintenance / Servicing,,"Bueno, Deniece",Genpact BCC,2025-05-25,"Yes, on first call",ALL->Ease of Service_; ALL->Helpfulness_; ALL->Products-General_; Overall Comments->Ease of Service; People Interaction->Helpfulness; Products->Products-General,Term Deposit Maturity / Break,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Term Deposit Maturity / Break,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740048458,Deposit | My AMP,Yes,1,0,1,"Ease of setting up an account. Help is just a phone call away, even on the weekend. ALL->Ease of Service_; ALL->Helpfulness_; ALL->Products-General_; Overall Comments->Ease of Service; People Interaction->Helpfulness; Products->Products-General 0 nan nan",10 nan,ease setting account phone away even weekend allease allhelpfulness allproductsgeneral overall commentsease people interactionhelpfulness productsproductsgeneral,
11167492,5/26/2025 10:55:47 AM,10,The staff I spoke with were courtesy and professional and did all they could to address the problem and solve it.,969491865,AMP Flexible Super - Super account,10,Angel went out of her way to address the issue by offering various methods to resolving the problem.  And she stayed online every step of the way till the issue was resolved.  I was very reassured by her guidance.,Call - Inbound,Transactions,,"Sumagaysay, Angel",Genpact BCC,2025-05-20,"Yes, on first call",ALL->Accessibility_; ALL->Helpfulness_; ALL->Personability_; ALL->Problem Resolution_; ALL->Professionalism_; Effort/Resolution->Problem Resolution; Overall Comments->Accessibility; People Interaction->Helpfulness; People Interaction->Personability; People Interaction->Professionalism,Funds Transfer,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Other/Non product,Other/Non product,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Funds Transfer,No Verbatim,1,Other/Non product,"Cuanico, Maria Cassandra",740048306,Deposit | My AMP,Yes,1,0,1,The staff I spoke with were courtesy and professional and did all they could to address the problem and solve it. ALL->Accessibility_; ALL->Helpfulness_; ALL->Personability_; ALL->Problem Resolution_; ALL->Professionalism_; Effort/Resolution->Problem Resolution; Overall Comments->Accessibility; People Interaction->Helpfulness; People Interaction->Personability; People Interaction->Professionalism 0 nan nan,10 nan,courtesy professional address problem solve allaccessibility allhelpfulness allpersonability allproblem resolution allprofessionalism effortresolutionproblem resolution overall commentsaccessibility people interactionhelpfulness people interactionpersonability people interactionprofessionalism,
11167489,5/26/2025 10:46:36 AM,8,,818608820,AMP SAVER ACCOUNT,8,,Call - Inbound,Product Enquiry,,"Odulio, Anna",Genpact BCC,2025-05-23,"Yes, on first call",,Transaction / Savings Account,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Transaction / Savings Account,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740037888,Deposit | My AMP,Yes,1,0,2,nan nan No CSAT Verbatim nan nan,8 nan,csat verbatim,
11167488,5/26/2025 10:46:31 AM,8,,TD370429367,,9,Was polite and quick to solve my enquire,Call - Inbound,Product Enquiry,,"Mendoza, Eloisa",Genpact BCC,2025-05-23,Too early to tell,,Term Deposit,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Term Deposit,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740048470,Deposit | My AMP,,0,0,2,nan nan No CSAT Verbatim nan nan,9 nan,csat verbatim,
11167485,5/26/2025 10:29:34 AM,8,"I appreciate the speed of answering call. However, the main reason this time was the service I received from Pratibha - very knowledgeable and understood my concerns straightaway.",116477095,,6,,Call - Inbound,Maintenance / Servicing,"Arlyn was very professional and tried to respond to all questions, however, I believe my query might have been a bit complicated? Not sure, but I didnât get the confident and firm response in regard to my home loan repayments.","Villacino, Arlyn",Genpact BCC,2025-05-23,"Yes, on first call",ALL->Knowledge and Competence_; ALL->Timeliness_; Effort/Resolution->Timeliness; People Interaction->Knowledge and Competence,Account Details,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Other/Non product,Other/Non product,PositIve,,,0,Negative,Professionalism,,with CSAT Verbatim,1,Account Details,with Verbatim,1,Other/Non product,"Gonzales, Fritz",740040990,Lending,Yes,1,0,2,"I appreciate the speed of answering call. However, the main reason this time was the service I received from Pratibha - very knowledgeable and understood my concerns straightaway. ALL->Knowledge and Competence_; ALL->Timeliness_; Effort/Resolution->Timeliness; People Interaction->Knowledge and Competence 0 nan nan",6 Professionalism,appreciate speed answering however main reason time received pratibha knowledgeable understood concerns straightaway allknowledge competence alltimeliness effortresolutiontimeliness people interactionknowledge competence,professionalism
11167484,5/26/2025 10:25:47 AM,3,Took way to long to discharge mortgage. Sent several emails and phone calls to instigate the process. Once discharged it took a further 7 calendar days to forward excess funds to my ANZ account. Should be overnight like all other payments these days. Clearly an attempt at holding funds for profit.,26461442,PROFESSIONAL PACK VARIABLE RATE LOAN - PRINCIPAL & INTEREST,9,,Call - Inbound,Maintenance / Servicing,,"Centeno, Renante",Genpact BCC,2025-05-16,"Yes, after multiple calls",ALL->Competitiveness_; ALL->Follow up/Responsiveness_; ALL->Investment Results_; ALL->Payments_; ALL->Products-General_; ALL->Timeliness_; Brand->Competitiveness; Effort/Resolution->Follow up/Responsiveness; Effort/Resolution->Timeliness; Products->Investments->Investment Results; Products->Products-General; Transactions->Payments,Account Details,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Service - Lending,Service - Lending,Positive,,,with CSAT Verbatim,1,Account Details,No Verbatim,1,Lending Existing Customer,"Gonzales, Fritz",740025392,Lending,Yes,1,0,2,Took way to long to discharge mortgage. Sent several emails and phone calls to instigate the process. Once discharged it took a further 7 calendar days to forward excess funds to my ANZ account. Should be overnight like all other payments these days. Clearly an attempt at holding funds for profit. ALL->Competitiveness_; ALL->Follow up/Responsiveness_; ALL->Investment Results_; ALL->Payments_; ALL->Products-General_; ALL->Timeliness_; Brand->Competitiveness; Effort/Resolution->Follow up/Responsiveness; Effort/Resolution->Timeliness; Products->Investments->Investment Results; Products->Products-General; Transactions->Payments Service - Lending Service - Lending nan,9 nan,took way long discharge mortgage sent several emails phone instigate process discharged took calendar days forward excess funds anz account overnight like payments days clearly attempt holding funds profit allcompetitiveness allfollow upresponsiveness allinvestment results allpayments allproductsgeneral alltimeliness brandcompetitiveness effortresolutionfollow upresponsiveness effortresolutiontimeliness productsinvestmentsinvestment results productsproductsgeneral transactionspayments lending,
11167480,5/26/2025 10:22:11 AM,1,sent 2 emails with information about changing loan over and also phoned and nothing has been done,150587653,AMP ESSENTIAL HOME LOAN (INVESTMENT),1,,Call - Inbound,,fixed the issue,"Salvacion, John",Genpact BCC,2025-05-23,Not yet resolved,ALL->Change Personal Info_; ALL->Helpfulness_; People Interaction->Helpfulness; Transactions->Change Personal Info,,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Service - Lending,Service - Lending,Negative,Resolution,,with CSAT Verbatim,1,Not Classified,with Verbatim,1,Lending Existing Customer,"Landicho, Janeth",740047912,Lending,No,0,1,1,sent 2 emails with information about changing loan over and also phoned and nothing has been done ALL->Change Personal Info_; ALL->Helpfulness_; People Interaction->Helpfulness; Transactions->Change Personal Info Service - Lending Service - Lending nan,1 Resolution,sent emails information changing loan phoned nothing done allchange personal info allhelpfulness people interactionhelpfulness transactionschange personal info lending,resolution
11167478,5/26/2025 10:18:41 AM,2,Loan is a construction loan. The time AMP takes to process payments to the builder is far too slow. Progress payment should be made within 24 hours not 7 days. It has caused tension between myself and the builder,TF339296507,,9,Listened to my concern and clearly attempted to do what she could to resolve it,Call - Inbound,Work in Progress Enquiry,,"Pulumbarit, Anna",Genpact BCC,2025-05-23,Not yet resolved,ALL->Payments_; ALL->Timeliness_; Effort/Resolution->Timeliness; Transactions->Payments,Settlement,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Other/Non product,Other/Non product,Negative,,Service - Lending,Service - Lending,Positive,,,with CSAT Verbatim,1,Settlement,No Verbatim,1,Other/Non product,"Landicho, Janeth",740031261,Lending,No,0,1,1,Loan is a construction loan. The time AMP takes to process payments to the builder is far too slow. Progress payment should be made within 24 hours not 7 days. It has caused tension between myself and the builder ALL->Payments_; ALL->Timeliness_; Effort/Resolution->Timeliness; Transactions->Payments Service - Lending Service - Lending nan,9 nan,loan construction loan time amp takes process payments builder far slow progress payment made within hours days caused tension builder allpayments alltimeliness effortresolutiontimeliness transactionspayments lending,
11167477,5/26/2025 10:16:55 AM,4,Change in interest rate policy,515270944,AMP SAVER ACCOUNT,8,,Call - Inbound,Product Enquiry,No improvement required,"Marcelo, Anneliese",Genpact BCC,2025-05-14,"Yes, on first call",ALL->General-Coverage or Policy_; ALL->Investment Results_; Products->General-Coverage or Policy; Products->Investments->Investment Results,Transaction / Savings Account,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Term Deposit process,Term Deposit process,Positive,,,with CSAT Verbatim,1,Transaction / Savings Account,with Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740023613,Deposit | My AMP,Yes,1,0,2,Change in interest rate policy ALL->General-Coverage or Policy_; ALL->Investment Results_; Products->General-Coverage or Policy; Products->Investments->Investment Results Term Deposit process Term Deposit process nan,8 nan,change interest rate policy allgeneralcoverage policy allinvestment results productsgeneralcoverage policy productsinvestmentsinvestment results term deposit process term deposit process,
11167467,5/26/2025 10:05:38 AM,10,Good  service,TD104667928,,10,,Call - Inbound,Product Enquiry,,"Sena, Wilma",Genpact BCC,2025-05-12,"Yes, on first call",ALL->General Pos/Neg_; Overall Comments->General Pos/Neg,Term Deposit,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Term Deposit,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740032227,Deposit | My AMP,Yes,1,0,2,Good  service ALL->General Pos/Neg_; Overall Comments->General Pos/Neg 0 nan nan,10 nan,allgeneral posneg overall commentsgeneral posneg,
11167464,5/26/2025 10:03:47 AM,0,"Interest reduced on savings, canât give me a good deal for being loyal customer. Will have to move banks",293782145,AMP SAVER ACCOUNT,0,,Call - Inbound,Online,Wasnât her fault. Needs to go to superiors,"Martirez, Christine",Genpact BCC,2025-05-23,Not yet resolved,ALL->Loyalty_; Brand->Loyalty,Other,5/26/2025,2025-05-26,2025-06-01,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Reputation,Reputation,Negative,Non-agent opportunity,,with CSAT Verbatim,1,Other,with Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740040453,Deposit | My AMP,No,0,1,2,"Interest reduced on savings, canât give me a good deal for being loyal customer. Will have to move banks ALL->Loyalty_; Brand->Loyalty Reputation Reputation nan",0 Non-agent opportunity,interest reduced savings give deal loyal move banks allloyalty brandloyalty reputation,nonagent opportunity
